Metric,Old Design,New Design
Predictors (k),90,81
Usable N,5098,5689
R²,0.3301,0.5167
Adjusted R²,0.3181,0.5097
ESR,23602.0,20068.0
Survey items,130,76
Est. completion (min),30,14
R² per item,0.00254,0.0068
R² per minute,0.011,0.03691
Mean VIF,1.39,2.37
VIF > 5 count,3,9
VIF > 10 count,0,0
Mean bootstrap CV,3.458,0.438
Tech block mean sparsity,91.7%,93.3%
